# PUMP node 0 (HEISVERKET)
# PUMP_SOURCE_IDNR = 14, PUMP_TARGET_IDNR = 10
yyyy mm dd hh Pumped_m3s Power_MW Cost_Euro startstopCost
2026 01 15 00 0.000000 0.000000 0.000000 0.000000
2026 01 15 01 0.000000 0.000000 0.000000 0.000000
2026 01 15 02 0.000000 0.000000 0.000000 0.000000
2026 01 15 03 0.000000 0.000000 0.000000 0.000000
2026 01 15 04 0.000000 0.000000 0.000000 0.000000
2026 01 15 05 0.000000 0.000000 0.000000 0.000000
2026 01 15 06 9.000000 9.325434 148.740674 1.250000
2026 01 15 07 9.000000 9.325048 181.278947 0.000000
2026 01 15 08 9.000000 9.324997 223.799918 0.000000
2026 01 15 09 9.000000 9.325274 273.323768 0.000000
2026 01 15 10 0.000000 0.000000 0.000000 1.250000
2026 01 15 11 0.000000 0.000000 0.000000 0.000000
2026 01 15 12 0.000000 0.000000 0.000000 0.000000
2026 01 15 13 0.000000 0.000000 0.000000 0.000000
2026 01 15 14 0.000000 0.000000 0.000000 0.000000
2026 01 15 15 0.000000 0.000000 0.000000 0.000000
2026 01 15 16 0.000000 0.000000 0.000000 0.000000
2026 01 15 17 0.000000 0.000000 0.000000 0.000000
2026 01 15 18 0.000000 0.000000 0.000000 0.000000
2026 01 15 19 0.000000 0.000000 0.000000 0.000000
2026 01 15 20 0.000000 0.000000 0.000000 0.000000
2026 01 15 21 0.000000 0.000000 0.000000 0.000000
2026 01 15 22 0.000000 0.000000 0.000000 0.000000
2026 01 15 23 0.000000 0.000000 0.000000 0.000000
2026 01 16 00 0.000000 0.000000 0.000000 0.000000
2026 01 16 01 0.000000 0.000000 0.000000 0.000000
2026 01 16 02 0.000000 0.000000 0.000000 0.000000
2026 01 16 03 0.000000 0.000000 0.000000 0.000000
2026 01 16 04 0.000000 0.000000 0.000000 0.000000
2026 01 16 05 0.000000 0.000000 0.000000 0.000000
2026 01 16 06 9.000000 9.304098 148.400367 1.250000
2026 01 16 07 9.000000 9.309257 180.971968 0.000000
2026 01 16 08 9.000000 9.314810 223.555445 0.000000
2026 01 16 09 9.000000 9.320721 273.190317 0.000000
2026 01 16 10 0.000000 0.000000 0.000000 1.250000
2026 01 16 11 0.000000 0.000000 0.000000 0.000000
2026 01 16 12 0.000000 0.000000 0.000000 0.000000
2026 01 16 13 0.000000 0.000000 0.000000 0.000000
2026 01 16 14 0.000000 0.000000 0.000000 0.000000
2026 01 16 15 0.000000 0.000000 0.000000 0.000000
2026 01 16 16 0.000000 0.000000 0.000000 0.000000
2026 01 16 17 0.000000 0.000000 0.000000 0.000000
2026 01 16 18 0.000000 0.000000 0.000000 0.000000
2026 01 16 19 0.000000 0.000000 0.000000 0.000000
2026 01 16 20 0.000000 0.000000 0.000000 0.000000
2026 01 16 21 0.000000 0.000000 0.000000 0.000000
2026 01 16 22 0.000000 0.000000 0.000000 0.000000
2026 01 16 23 0.000000 0.000000 0.000000 0.000000
2026 01 17 00 0.000000 0.000000 0.000000 0.000000
2026 01 17 01 0.000000 0.000000 0.000000 0.000000
2026 01 17 02 0.000000 0.000000 0.000000 0.000000
2026 01 17 03 0.000000 0.000000 0.000000 0.000000
2026 01 17 04 0.000000 0.000000 0.000000 0.000000
2026 01 17 05 0.000000 0.000000 0.000000 0.000000
2026 01 17 06 9.000000 9.245850 147.471304 1.250000
2026 01 17 07 9.000000 9.251009 179.839618 0.000000
2026 01 17 08 9.000000 9.256562 222.157482 0.000000
2026 01 17 09 9.000000 9.262472 271.483055 0.000000
2026 01 17 10 0.000000 0.000000 0.000000 1.250000
2026 01 17 11 0.000000 0.000000 0.000000 0.000000
2026 01 17 12 0.000000 0.000000 0.000000 0.000000
2026 01 17 13 0.000000 0.000000 0.000000 0.000000
2026 01 17 14 0.000000 0.000000 0.000000 0.000000
2026 01 17 15 0.000000 0.000000 0.000000 0.000000
2026 01 17 16 0.000000 0.000000 0.000000 0.000000
2026 01 17 17 0.000000 0.000000 0.000000 0.000000
2026 01 17 18 0.000000 0.000000 0.000000 0.000000
2026 01 17 19 0.000000 0.000000 0.000000 0.000000
2026 01 17 20 0.000000 0.000000 0.000000 0.000000
2026 01 17 21 0.000000 0.000000 0.000000 0.000000
2026 01 17 22 0.000000 0.000000 0.000000 0.000000
2026 01 17 23 0.000000 0.000000 0.000000 0.000000
