Date_NodeID	1	5	6	9
20220901	0.80	0.00	0.00	0.00
20220902	0.80	0.00	0.00	0.00
20220903	0.80	0.00	0.00	0.00
20220904	0.80	0.63	0.63	0.63
20220905	0.80	0.80	0.80	0.80
20220906	0.80	0.80	0.80	0.80
20220907	0.80	0.80	0.80	0.80
20220908	0.80	0.80	0.80	0.80
20220909	0.80	0.80	0.80	0.80
20220910	0.80	0.80	0.80	0.80
20220911	0.80	0.80	0.80	0.80
20220912	0.80	0.80	0.80	0.80
20220913	0.80	0.80	0.80	0.80
20220914	0.80	0.80	0.80	0.80
20220915	0.80	0.80	0.80	0.80
20220916	0.80	0.80	0.80	0.80
20220917	0.80	0.80	0.80	0.80
20220918	0.80	0.80	0.80	0.80
20220919	0.80	0.80	0.80	0.80
20220920	0.80	0.80	0.80	0.80
20220921	0.80	0.80	0.80	0.80
20220922	0.80	0.80	0.80	0.80
20220923	0.80	0.80	0.80	0.80
20220924	0.80	0.80	0.80	0.80
20220925	0.80	0.80	0.80	0.80
20220926	0.80	0.80	0.80	0.80
20220927	0.80	0.80	0.80	0.80
20220928	0.80	0.80	0.80	0.80
20220929	0.80	0.80	0.80	0.80
20220930	0.80	0.80	0.80	0.80
20221001	0.80	0.80	0.80	0.80
20221002	0.80	0.80	0.80	0.80
20221003	0.80	0.80	0.80	0.80
20221004	0.80	0.80	0.80	0.80
20221005	0.80	0.80	0.80	0.80
20221006	0.80	0.80	0.80	0.80
20221007	0.80	0.80	0.80	0.80
20221008	0.80	0.80	0.80	0.80
20221009	0.80	0.80	0.80	0.80
20221010	0.80	0.80	0.80	0.80
20221011	0.80	0.80	0.80	0.80
20221012	0.80	0.80	0.80	0.80
20221013	0.80	0.80	0.80	0.80
20221014	0.80	0.80	0.80	0.80
20221015	0.80	0.80	0.80	0.80
20221016	0.80	0.80	0.80	0.80
20221017	0.80	0.80	0.80	0.80
20221018	0.80	0.80	0.80	0.80
20221019	0.80	0.80	0.80	0.80
20221020	0.80	0.80	0.80	0.80
20221021	0.80	0.80	0.80	0.80
20221022	0.80	0.80	0.80	0.80
20221023	0.80	0.80	0.80	0.80
20221024	0.80	0.80	0.80	0.80
20221025	0.80	0.80	0.80	0.80
20221026	0.80	0.80	0.80	0.80
20221027	0.80	0.80	0.80	0.80
20221028	0.80	0.80	0.80	0.80
20221029	0.80	0.80	0.80	0.80
20221030	0.80	0.80	0.80	0.80
20221031	0.80	0.80	0.80	0.80
20221101	0.80	0.80	0.80	0.80
20221102	0.80	0.80	0.80	0.80
20221103	0.80	0.80	0.80	0.80
20221104	0.80	0.80	0.80	0.80
