Date_NodeID	2	3	6	10	14	16
2026011500	1.141	15.000	2.400	4.424	5.000	0.823
2026011501	1.173	15.582	2.386	4.300	4.871	0.783
2026011502	1.193	16.125	2.346	4.155	4.750	0.759
2026011503	1.200	16.591	2.283	4.000	4.646	0.750
2026011504	1.193	16.949	2.200	3.845	4.567	0.759
2026011505	1.173	17.173	2.104	3.700	4.517	0.783
2026011506	1.141	17.250	2.000	3.576	4.500	0.823
2026011507	1.100	17.173	1.896	3.480	4.517	0.875
2026011508	1.052	16.949	1.800	3.420	4.567	0.935
2026011509	1.000	16.591	1.717	3.400	4.646	1.000
2026011510	0.948	16.125	1.654	3.420	4.750	1.065
2026011511	0.900	15.582	1.614	3.480	4.871	1.125
2026011512	0.859	15.000	1.600	3.576	5.000	1.177
2026011513	0.827	14.418	1.614	3.700	5.129	1.217
2026011514	0.807	13.875	1.654	3.845	5.250	1.241
2026011515	0.800	13.409	1.717	4.000	5.354	1.250
2026011516	0.807	13.051	1.800	4.155	5.433	1.241
2026011517	0.827	12.827	1.896	4.300	5.483	1.217
2026011518	0.859	12.750	2.000	4.424	5.500	1.177
2026011519	0.900	12.827	2.104	4.520	5.483	1.125
2026011520	0.948	13.051	2.200	4.580	5.433	1.065
2026011521	1.000	13.409	2.283	4.600	5.354	1.000
2026011522	1.052	13.875	2.346	4.580	5.250	0.935
2026011523	1.100	14.418	2.386	4.520	5.129	0.875
2026011600	1.141	15.000	2.400	4.424	5.000	0.823
2026011601	1.173	15.582	2.386	4.300	4.871	0.783
2026011602	1.193	16.125	2.346	4.155	4.750	0.759
2026011603	1.200	16.591	2.283	4.000	4.646	0.750
2026011604	1.193	16.949	2.200	3.845	4.567	0.759
2026011605	1.173	17.173	2.104	3.700	4.517	0.783
2026011606	1.141	17.250	2.000	3.576	4.500	0.823
2026011607	1.100	17.173	1.896	3.480	4.517	0.875
2026011608	1.052	16.949	1.800	3.420	4.567	0.935
2026011609	1.000	16.591	1.717	3.400	4.646	1.000
2026011610	0.948	16.125	1.654	3.420	4.750	1.065
2026011611	0.900	15.582	1.614	3.480	4.871	1.125
2026011612	0.859	15.000	1.600	3.576	5.000	1.177
2026011613	0.827	14.418	1.614	3.700	5.129	1.217
2026011614	0.807	13.875	1.654	3.845	5.250	1.241
2026011615	0.800	13.409	1.717	4.000	5.354	1.250
2026011616	0.807	13.051	1.800	4.155	5.433	1.241
2026011617	0.827	12.827	1.896	4.300	5.483	1.217
2026011618	0.859	12.750	2.000	4.424	5.500	1.177
2026011619	0.900	12.827	2.104	4.520	5.483	1.125
2026011620	0.948	13.051	2.200	4.580	5.433	1.065
2026011621	1.000	13.409	2.283	4.600	5.354	1.000
2026011622	1.052	13.875	2.346	4.580	5.250	0.935
2026011623	1.100	14.418	2.386	4.520	5.129	0.875
2026011700	1.141	15.000	2.400	4.424	5.000	0.823
2026011701	1.173	15.582	2.386	4.300	4.871	0.783
2026011702	1.193	16.125	2.346	4.155	4.750	0.759
2026011703	1.200	16.591	2.283	4.000	4.646	0.750
2026011704	1.193	16.949	2.200	3.845	4.567	0.759
2026011705	1.173	17.173	2.104	3.700	4.517	0.783
2026011706	1.141	17.250	2.000	3.576	4.500	0.823
2026011707	1.100	17.173	1.896	3.480	4.517	0.875
2026011708	1.052	16.949	1.800	3.420	4.567	0.935
2026011709	1.000	16.591	1.717	3.400	4.646	1.000
2026011710	0.948	16.125	1.654	3.420	4.750	1.065
2026011711	0.900	15.582	1.614	3.480	4.871	1.125
2026011712	0.859	15.000	1.600	3.576	5.000	1.177
2026011713	0.827	14.418	1.614	3.700	5.129	1.217
2026011714	0.807	13.875	1.654	3.845	5.250	1.241
2026011715	0.800	13.409	1.717	4.000	5.354	1.250
2026011716	0.807	13.051	1.800	4.155	5.433	1.241
2026011717	0.827	12.827	1.896	4.300	5.483	1.217
2026011718	0.859	12.750	2.000	4.424	5.500	1.177
2026011719	0.900	12.827	2.104	4.520	5.483	1.125
2026011720	0.948	13.051	2.200	4.580	5.433	1.065
2026011721	1.000	13.409	2.283	4.600	5.354	1.000
2026011722	1.052	13.875	2.346	4.580	5.250	0.935
2026011723	1.100	14.418	2.386	4.520	5.129	0.875
